domain,reads,sample
Bacteria,1185344,22001612560719
Eukaryota,2688,22001612560719
Archaea,1101,22001612560719
Viruses,185,22001612560719
Bacteria,1160403,22001612560484
Archaea,5109,22001612560484
Eukaryota,3550,22001612560484
Viruses,305,22001612560484
Bacteria,1222679,22001612560572
Archaea,2969,22001612560572
Eukaryota,2044,22001612560572
Viruses,144,22001612560572
Bacteria,2163937,22001612560705
Eukaryota,486758,22001612560705
Archaea,443,22001612560705
Viruses,119,22001612560705
Bacteria,1278667,22001612562605
Eukaryota,1661,22001612562605
Archaea,732,22001612562605
Viruses,134183,22001612562605
Bacteria,1484871,22001612561911
Eukaryota,2877,22001612561911
Archaea,2769,22001612561911
Viruses,267,22001612561911
Bacteria,2121301,22001612560936
Eukaryota,2171,22001612560936
Archaea,837,22001612560936
Viruses,103,22001612560936
Bacteria,1975018,22001612560567
Eukaryota,4026,22001612560567
Archaea,661,22001612560567
Viruses,135,22001612560567
Bacteria,1993095,22001612561369
Eukaryota,1776,22001612561369
Archaea,569,22001612561369
Viruses,2981,22001612561369
Bacteria,1723888,22001612561644
Eukaryota,457,22001612561644
Archaea,214,22001612561644
Viruses,18,22001612561644
Bacteria,2570428,22001612561012
Eukaryota,9141,22001612561012
Archaea,466,22001612561012
Viruses,150,22001612561012
Bacteria,1805714,22001612562325
Eukaryota,3365,22001612562325
Archaea,982,22001612562325
Viruses,35000,22001612562325
Bacteria,1748246,22001612562031
Eukaryota,2059,22001612562031
Archaea,923,22001612562031
Viruses,10925,22001612562031
Bacteria,1055741,22001612560541
Eukaryota,525,22001612560541
Archaea,149,22001612560541
Viruses,2181,22001612560541
Bacteria,1591208,22001612561749
Eukaryota,2152,22001612561749
Archaea,1580,22001612561749
Viruses,2342,22001612561749
Bacteria,2021663,22001612561810
Eukaryota,4143,22001612561810
Archaea,1318,22001612561810
Viruses,190,22001612561810
Bacteria,929082,22001612561191
Eukaryota,6825,22001612561191
Archaea,1693,22001612561191
Viruses,273,22001612561191
Bacteria,2386046,22001612561219
Eukaryota,1604,22001612561219
Archaea,418,22001612561219
Viruses,423,22001612561219
Bacteria,1322870,22001612560701
Archaea,2951,22001612560701
Eukaryota,1952,22001612560701
Viruses,167,22001612560701
Bacteria,1519089,22001612562123
Archaea,149303,22001612562123
Eukaryota,1121,22001612562123
Viruses,174,22001612562123
Bacteria,1061913,22001612560982
Eukaryota,2234,22001612560982
Archaea,1204,22001612560982
Viruses,13918,22001612560982
Bacteria,1193985,22001612560154
Archaea,3150,22001612560154
Eukaryota,2884,22001612560154
Viruses,351,22001612560154
Bacteria,2207238,22001612560976
Eukaryota,1681,22001612560976
Archaea,375,22001612560976
Viruses,103,22001612560976
Bacteria,1171015,22001612562589
Eukaryota,2675,22001612562589
Archaea,1204,22001612562589
Viruses,664,22001612562589
Bacteria,1965113,22001612560908
Eukaryota,1901,22001612560908
Archaea,733,22001612560908
Viruses,25193,22001612560908
